timestamp,tweet_text,username,all_hashtags,followers_count
,,,,
5/10/2020 8:43,b'@Steve54712762 Women seem to be better at taking vitamin supplements according to research studies!  Apparently it is illegal in France to collect data on ethnicity so presumably it is not known how many BAME health workers have died there from #COVID19?  #marr',b'TheLastPersont2',"['COVID19', 'marr']",3552
,,,,
5/10/2020 8:43,"b'#HongKong reported three imported cases of #Covid19 on Sunday, but no locally transmitted infections. https://t.co/zy7fSiLfsT'",b'HongKongFP',"['HongKong', 'Covid19']",320297
,,,,
5/10/2020 8:43,b'@HeresYourReplay And the crowd goes wild?! #COVID19',b'HabbyHibbs',['COVID19'],83
,,,,
5/10/2020 8:43,b'Taiwan\xe2\x80\x99s weapon against #coronavirus: An epidemiologist as vice president - https://t.co/gor0IiBESw  #taiwan #WHO #COVID19 #trump #america',b'andrewhahalee',"['coronavirus', 'taiwan', 'WHO', 'COVID19', 'trump', 'america']",442
,,,,
5/10/2020 8:43,"b""#China's president Xi Jinping 'personally asked #WHO to hold back information about human-to-human transmission and delay a global pandemic warning' at the start of the #COVID19 outbreak, bombshell report claims. https://t.co/PPECA4c3VI #Coronavirus""",b'carlesdijous',"['China', 'WHO', 'COVID19', 'Coronavirus']",9031
,,,,
5/10/2020 8:43,"b'#Ratio #corona.  Despite challenges, #India not doing bad esp on recoveries &amp; casualties rate. &amp; yes, I am comparing with the west. #COVID19India #COVIDIOT #IndiaFightsCoronavirus #covid19 #coronavirus https://t.co/JnnTY0314x'",b'CaptAKJ',"['Ratio', 'corona', 'India', 'COVID19India', 'COVIDIOT', 'IndiaFightsCoronavirus', 'covid19', 'coronavirus']",550
,,,,
5/10/2020 8:43,b'Oh dear @JonAshworth is now gonna tell us on @MarrShow what we should do about #covid19. We will be puzzled by #StayAlert message..and reminds us the virus is a #highlyhighly deadly virus.',b'Munku1',"['covid19', 'StayAlert', 'highlyhighly']",402
,,,,
5/10/2020 8:43,"b'Polluters want to use #COVID19 to kill climate ambition, but 3 powerful women @vonderleyen @Lagarde &amp; @Regsprecher can push through a #GreenCoronaRecovery in Europe, and inspire the world to embrace a brighter future. Join the global call now! https://t.co/h0F07bbhxA'",b'hulme_edward',"['COVID19', 'GreenCoronaRecovery']",70
,,,,
5/10/2020 8:43,"b'\xf0\x9d\x97\x9f\xf0\x9d\x97\xbc\xf0\x9d\x97\xb0\xf0\x9d\x97\xb8\xf0\x9d\x97\xb1\xf0\x9d\x97\xbc\xf0\x9d\x98\x84\xf0\x9d\x97\xbb \xf0\x9d\x97\xa6\xf0\x9d\x98\x81\xf0\x9d\x97\xbc\xf0\x9d\x97\xbf\xf0\x9d\x97\xb6\xf0\x9d\x97\xb2\xf0\x9d\x98\x80: \xf0\x9d\x97\x99\xf0\x9d\x98\x81. \xf0\x9d\x97\x9b\xf0\x9d\x97\xae\xf0\x9d\x97\xbb\xf0\x9d\x98\x80\xf0\x9d\x97\xba\xf0\x9d\x98\x82\xf0\x9d\x97\xb8\xf0\x9d\x97\xb5 \xf0\x9d\x97\x95\xf0\x9d\x97\xb5\xf0\x9d\x97\xae\xf0\x9d\x97\xb6 \xf0\x9d\x97\x9a\xf0\x9d\x98\x82\xf0\x9d\x97\xb7\xf0\x9d\x97\xb7\xf0\x9d\x97\xae\xf0\x9d\x97\xbf ""I am working as a housekeeping staff @iitgn and am currently staying at the campus as commutation from my house to the campus can expose me to the risk of contracting #COVID19."" https://t.co/yeIFs76w3j'",b'iitgn',['COVID19'],10963
,,,,
5/10/2020 8:43,b'Trump on All the Things \xe2\x80\x98Nobody Knew\xe2\x80\x99 | NowThis https://t.co/mvOPGCDq7a via @YouTube this is your president @realDonaldTrump and his #BIGBRAIN  whenever he says No BODY it means he didn\xe2\x80\x99t and just found out #MoronInChief #COVID19 #FailedAmerica #TrumpLiesAmericansDie  #TrumpVirus',b'rhoarealtalk',"['BIGBRAIN', 'MoronInChief', 'COVID19', 'FailedAmerica', 'TrumpLiesAmericansDie', 'TrumpVirus']",906
,,,,
5/10/2020 8:43,"b'@cnnbrk It\xe2\x80\x99s a democrat hoax!!! They should all continue to walk amongst &amp; meet with each other in the WH daily without masks. If you don\xe2\x80\x99t test, you don\xe2\x80\x99t get #COVID19 Low number of cases in red states is bc #MAGAts don\xe2\x80\x99t get it or die. It will soon go away.'",b'nanelvisfan',"['COVID19', 'MAGAts']",11023
,,,,
5/10/2020 8:43,"b'#NSTnation ""The huge number of i\xe2\x80\x93Lestari applicants simply shows how cash-strapped the workers are, not necessarily just because of the #Covid19 pandemic""  https://t.co/CJiylOZev3'",b'NST_Online',"['NSTnation', 'Covid19']",710739
,,,,
5/10/2020 8:43,b'Scotland doing things right. We are not out of the woods. #COVID19 https://t.co/UDcVZOffHw https://t.co/7KBR5mnYXW',b'LTZCreative',['COVID19'],536
,,,,
5/10/2020 8:43,"b'Join us on an Instagram live today, at 6:30PM (IST) and watch our CEO &amp; co-founder, Aashish Beergi in conversation with Prashant R Chauhan talk about the role of young changemakers in fighting COVID-19! #covid19 #COVIDAction #ecosystem #MashProject #SDG17 #SocEnt #AmityUniversity https://t.co/0EgnyGeTzz'",b'MASH_Project',"['covid19', 'COVIDAction', 'ecosystem', 'MashProject', 'SDG17', 'SocEnt', 'AmityUniversity']",860
,,,,
5/10/2020 8:43,"b'As much as I\xe2\x80\x99ve enjoyed my 10 night AI break at the Royal Albert Wigan, I\xe2\x80\x99m desperate to get home.. #COVID19 you ain\xe2\x80\x99t getting me, I\xe2\x80\x99ve too much to live for #strongwomen #seemykids #byehighriskward #fingerscrossedhometoday'",b'thisladywill',"['COVID19', 'strongwomen', 'seemykids', 'byehighriskward', 'fingerscrossedhometoday']",263
,,,,
5/10/2020 8:43,"b'\xe2\x80\x9cPolitical Connections and Cronyism\xe2\x80\x9d: In Blistering #WhistleblowerComplaint , Rick Bright Blasts Team Trump\xe2\x80\x99s #Pandemic Response  #COVID19 #Trump #drugs #lockdown https://t.co/3mHvPMiI8d'",b'Gloria_A41',"['WhistleblowerComplaint', 'Pandemic', 'COVID19', 'Trump', 'drugs', 'lockdown']",388
,,,,
5/10/2020 8:43,"b""Another subvert of the UK gov's new #COVID19 slogan: https://t.co/fzsYV7jxDM""",b'InertiaPi',['COVID19'],15
,,,,
5/10/2020 8:43,"b'Not sure the Govt should have modelled its #COVID19 poster on the 2005-06 Forest away shirt. It brought us nothing but bad luck. We finished 7th in League One, having disastrously failed to win promotion, doomed to spend another season in the 3rd tier of English football #nffc https://t.co/Mk8scfz0Z0'",b'MichaelDugher',"['COVID19', 'nffc']",35077
,,,,
5/10/2020 8:43,b'#Picture of the #year ! #COVID19  . During this tremendous #COVID #pandemia time alltogether obliged to social isolation and distancing a #hug is much more than all words ever . dedicated to alltogether who take #care eachother . wishing for a better future https://t.co/h5QI1qo8eh',b'teo_migliorini',"['Picture', 'year', 'COVID19', 'COVID', 'pandemia', 'hug', 'care']",1434
,,,,
5/10/2020 8:43,b'Msale in Mathare. The coronavirus murals trying to keep Nairobian\xe2\x80\x99s safe in the slum #Kenya #Covid19 https://t.co/0CuPcvZqrc',b'RGS_IBGschools',"['Kenya', 'Covid19']",7521
,,,,
5/10/2020 8:43,b'Foreign influence divides and promotes confusion and fear by playing on what you think you know of a particular event and engages you emotionally.   Trendy sociopolitical labels are toxic.  https://t.co/DQyVnXlVJr  #Coronavirus #COVID19 #COVIDIOT #Elections2020 #HumanRights #USA',b'taylordirects',"['Coronavirus', 'COVID19', 'COVIDIOT', 'Elections2020', 'HumanRights', 'USA']",10
,,,,
5/10/2020 8:43,"b'#BREAKING   Today in #Bangladesh 887  people have been infected and  14 people have been died in #COVID19. Total 14657 people have been infected, 228 people have been died and 2650 people have been recovered  death rate is 1.5%. The recovery rate is 18.08\xe2\x80\xb0.  #covid19bangladesh https://t.co/H4T6OqKqB3'",b'ShibirNC',"['BREAKING', 'Bangladesh', 'COVID19', 'covid19bangladesh']",3771
,,,,
5/10/2020 8:43,b'Life Right Now! #earthquake #COVID19 https://t.co/SYSYrTiuob',b'nikhilchawla',"['earthquake', 'COVID19']",8427
,,,,
5/10/2020 8:43,b'@BorisJohnson 200k tests a day by end of May you cannot even reach 65k. #TestAndTrace fail #COVID19 #Covid19UK https://t.co/VhvU0i56pF',b'infinityinfinin',"['TestAndTrace', 'COVID19', 'Covid19UK']",295
,,,,
5/10/2020 8:43,"b""Thank you @churchofengland for this morning's worship led by @bishopSarahM and nurses serving us in various roles in this time #COVID19 as we remembered and give thanks for the life, work and witness of Florence Nightingale.""",b'JudieHorrocks',['COVID19'],376
,,,,
5/10/2020 8:43,"b'Under the present circumstances, Indore can expect at least one more spike in its #COVID19 cases. https://t.co/SogJ5wgpdh'",b'AphelionLabs',['COVID19'],5
,,,,
5/10/2020 8:43,b'Coronavirus Pune: 80 stranded Puneites to return under Vande Mataram mission  #VandeMataramMission #Sakal #SakalNews #Viral #ViralNews #Lockdown #Coronavirus #Covid19 #Quarantine   https://t.co/IYj3PchEPh',b'sakaltimes',"['VandeMataramMission', 'Sakal', 'SakalNews', 'Viral', 'ViralNews', 'Lockdown', 'Coronavirus', 'Covid19', 'Quarantine']",20950
,,,,
5/10/2020 8:43,b'Crazy people now profiting off the pandemic . They misled the world and now selling facial masks and PPEs to the world #covid #COVID19 #COVIDIOTS https://t.co/UcCcc2iWod',b'tizziefbaby',"['covid', 'COVID19', 'COVIDIOTS']",984
,,,,
5/10/2020 8:43,"b""As Deaths In U.S. Continue, A Look At Trump's Words On Virus | Morning J... https://t.co/nlTSnN2uOv via @YouTube #DonTheCon #TrumpLIES  #COVID19 #Coronavirus #COVID19US #CoronavirusPandemic #CoronavirusLockdown #CoronavirusOutbreak #CoronavirusUSA""",b'Vic_Stone1',"['DonTheCon', 'TrumpLIES', 'COVID19', 'Coronavirus', 'COVID19US', 'CoronavirusPandemic', 'CoronavirusLockdown', 'CoronavirusOutbreak', 'CoronavirusUSA']",13270
,,,,
5/10/2020 8:43,"b'In April, the Indian government\xe2\x80\x99s NIC launched the ""Aarogya Setu"", mobile application as a part of the government\xe2\x80\x99s efforts to contain the spread of #COVID19. It\'s the only democratic country to make the contact tracing app mandatory. https://t.co/BdBpEa5t58'",b'SMcCavanaugh',['COVID19'],579
,,,,
5/10/2020 8:43,b'This stack of steaming horse shit is moving empty boxes for a photo shoot while people are dying during a global pandemic but it\xe2\x80\x99s my comment telling him to drop dead that\xe2\x80\x99s offensive.  Everyone can get in line for the Go-Fuck-Yourself Party. #COVID19 #twittergay https://t.co/dy6w5XFhCS',b'JoshToJoshua',"['COVID19', 'twittergay']",75
,,,,
5/10/2020 8:43,"b'#ICYMI  #May9th #Uganda  #Covid19 \xf0\x9f\x94\xb8 2 new cases \xf0\x9f\x94\xb9 ( truck drivers)  \xe2\x9c\xb3\xef\xb8\x8f 56,767 tested \xe2\x9c\xb3\xef\xb8\x8f 116 confirmed cases \xe2\x9c\xb3\xef\xb8\x8f 55 recoveries \xe2\x9c\xb3\xef\xb8\x8f 0 deaths SOURCE MOH'",b'Jadwong',"['ICYMI', 'May9th', 'Uganda', 'Covid19']",24213
,,,,
5/10/2020 8:43,"b'Well, this is turning into a worldwide #COVID19 trend.  Can people just please finally learn from others rather than continually repeating the same mistakes like a nightmare version of ""Groundhog Day""? https://t.co/AFlpZ8EwMB'",b'MsWoofs',['COVID19'],17
,,,,
5/10/2020 8:43,b'#Covid19 thrives thanks to #COVIDIOTS #marr',b'sophiabotha74',"['Covid19', 'COVIDIOTS', 'marr']",2106
,,,,
5/10/2020 8:43,b'- Do it for yourself..  - Stay Home - Stay Safe - Stop Covid-19 #waedbarakat #waedmelhembarakat #waedbarakatfans #coronavirus #covid19 #staysafe #stayhome #stopcoronavirus https://t.co/ZijEJGUUUi',b'WaedBarakat',"['waedbarakat', 'waedmelhembarakat', 'waedbarakatfans', 'coronavirus', 'covid19', 'staysafe', 'stayhome', 'stopcoronavirus']",344
,,,,
5/10/2020 8:43,"b""There's a deluge of apps that detect your #COVID19 exposure, often with little transparency. Our Covid Tracing Tracker project will document them. @theGNI @Internews @rightsmetrics @CivicCharter @IFEX @africafoicentre @achpr_cadhp @EU_Commission @hrw  https://t.co/Bc9W8Y6wP9""",b'AfroLeadership_',['COVID19'],904
